Rk,Player,Tm,Age,POS,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,Cooper Kupp*+,LAR,28,WR,17,17,191,145,1947,16,89,1101,7.6,846,5.8,8.6,10,14.5,8,4.2,5,124.8
2,Davante Adams*+,GNB,29,WR,16,16,169,123,1553,11,84,961,7.8,592,4.8,9.6,5,24.6,3,1.8,3,115.3
3,Tyreek Hill*,KAN,27,WR,17,16,159,111,1239,9,75,795,7.2,444,4,10.4,10,11.1,7,4.4,3,103.7
4,Justin Jefferson*,MIN,22,WR,17,17,167,108,1616,10,75,1134,10.5,482,4.5,12.4,5,21.6,7,4.2,2,111.3
5,Mark Andrews*+,BAL,26,TE,17,9,153,107,1361,9,75,903,8.4,458,4.3,10.3,4,26.8,3,2,9,92.5
6,Diontae Johnson*,PIT,25,WR,16,14,169,107,1161,8,59,634,5.9,527,4.9,8.5,8,13.4,5,3,3,91.9
7,Keenan Allen*,LAC,29,WR,16,16,157,106,1138,6,66,801,7.6,337,3.2,8.4,1,106,8,5.1,5,88
8,Jaylen Waddle,MIA,23,WR,16,16,140,104,1015,6,59,576,5.5,439,4.2,7.1,4,26,8,5.7,7,87.6
9,Stefon Diggs*,BUF,28,WR,17,17,164,103,1225,10,66,899,8.7,326,3.2,11.1,7,14.7,5,3,6,90.6
10,Hunter Renfrow*,LVR,26,WR,17,9,128,103,1038,9,51,586,5.7,452,4.4,6.5,2,51.5,2,1.6,1,120.6
11,Chris Godwin,TAM,25,WR,14,14,127,98,1103,5,55,517,5.3,586,6,7.3,5,19.6,5,3.9,2,109.1
12,D.J. Moore,CAR,24,WR,17,17,163,93,1157,4,60,731,7.9,426,4.6,10.6,4,23.3,10,6.1,6,72
13,Travis Kelce*,KAN,32,TE,16,16,134,92,1125,9,63,561,6.1,564,6.1,7.4,8,11.5,10,7.5,5,101.1
14,Marquise Brown,BAL,24,WR,16,16,146,91,1008,6,41,620,6.8,388,4.3,11.1,4,22.8,7,4.8,3,87.9
15,Brandin Cooks,HOU,28,WR,16,16,134,90,1037,6,45,680,7.6,357,4,10.5,5,18,5,3.7,3,95.9
16,Amon-Ra St. Brown,DET,22,WR,17,9,119,90,912,5,48,488,5.4,424,4.7,7.1,2,45,1,0.8,2,104
17,Michael Pittman Jr.,IND,24,WR,17,17,129,88,1082,6,54,734,8.3,348,4,9.8,2,44,6,4.7,3,99.7
18,Jakobi Meyers,NWE,25,WR,17,16,126,83,866,2,42,644,7.8,222,2.7,9.8,1,83,3,2.4,3,81
