1,Jonathan Taylor*+,IND,22,rb,17,17,51,40,360,9,2,12,76,2.4,21.2,78.40%,7.1,332,1811,18,107,83,5.5,106.5,19.5,372,5.8,2171,20,4
2,Cooper Kupp*+,LAR,28,wr,17,17,191,145,1947,13.4,16,89,59,8.5,114.5,75.90%,10.2,4,18,0,1,18,4.5,1.1,0.2,149,13.2,1965,16,0
3,Deebo Samuel*+,SFO,25,wr,16,15,121,77,1405,18.2,6,51,83,4.8,87.8,63.60%,11.6,59,365,8,21,49,6.2,22.8,3.7,136,13,1770,14,4
4,Najee Harris*,PIT,23,rb,17,17,94,74,467,6.3,3,22,25,4.4,27.5,78.70%,5,307,1200,7,62,37,3.9,70.6,18.1,381,4.4,1667,10,0
5,Justin Jefferson*,MIN,22,wr,17,17,167,108,1616,15,10,75,56,6.4,95.1,64.70%,9.7,6,14,0,1,11,2.3,0.8,0.4,114,14.3,1630,10,1
6,Austin Ekeler,LAC,26,rb,16,16,94,70,647,9.2,8,31,40,4.4,40.4,74.50%,6.9,206,911,12,53,28,4.4,56.9,12.9,276,5.6,1558,20,4
7,Davante Adams*+,GNB,29,wr,16,16,169,123,1553,12.6,11,84,59,7.7,97.1,72.80%,9.2,0,0,0,0,0,0,0,0,123,12.6,1553,11,0
8,Joe Mixon*,CIN,25,rb,16,16,48,42,314,7.5,3,11,52,2.6,19.6,87.50%,6.5,292,1205,13,60,32,4.1,75.3,18.3,334,4.5,1519,16,2
9,Ja'Marr Chase*,CIN,21,wr,17,17,128,81,1455,18,13,56,82,4.8,85.6,63.30%,11.4,7,21,0,2,10,3,1.2,0.4,88,16.8,1476,13,2
10,Nick Chubb*,CLE,26,rb,14,14,25,20,174,8.7,1,9,40,1.4,12.4,80.00%,7,228,1259,8,61,70,5.5,89.9,16.3,248,5.8,1433,9,2
11,Dalvin Cook*,MIN,26,rb,13,13,49,34,224,6.6,0,9,24,2.6,17.2,69.40%,4.6,249,1159,6,57,66,4.7,89.2,19.2,283,4.9,1383,6,3
12,Mark Andrews*+,BAL,26,te,17,9,153,107,1361,12.7,9,75,43,6.3,80.1,69.90%,8.9,1,0,0,0,0,0,0,0.1,108,12.6,1361,9,1
13,Alvin Kamara*,NOR,26,rb,13,10,67,47,439,9.3,5,20,31,3.6,33.8,70.10%,6.6,240,898,4,42,30,3.7,69.1,18.5,287,4.7,1337,9,0
14,Tyreek Hill*,KAN,27,wr,17,16,159,111,1239,11.2,9,75,75,6.5,72.9,69.80%,7.8,9,96,0,4,33,10.7,5.6,0.5,120,11.1,1335,9,2
15,Antonio Gibson,WAS,23,rb,16,14,52,42,294,7,3,12,73,2.6,18.4,80.80%,5.7,258,1037,7,65,27,4,64.8,16.1,300,4.4,1331,10,6
16,Ezekiel Elliott,DAL,26,rb,17,17,65,47,287,6.1,2,17,21,2.8,16.9,72.30%,4.4,237,1002,10,55,47,4.2,58.9,13.9,284,4.5,1289,12,1
17,Leonard Fournette,TAM,26,rb,14,13,84,69,454,6.6,2,30,23,4.9,32.4,82.10%,5.4,180,812,8,45,47,4.5,58,12.9,249,5.1,1266,10,1
18,Stefon Diggs*,BUF,28,wr,17,17,164,103,1225,11.9,10,66,61,6.1,72.1,62.80%,7.5,0,0,0,0,0,0,0,0,103,11.9,1225,10,1
19,Josh Jacobs,LVR,23,rb,15,14,64,54,348,6.4,0,14,29,3.6,23.2,84.40%,5.4,217,872,9,45,28,4,58.1,14.5,271,4.5,1220,9,2
20,Javonte Williams,DEN,21,rb,17,1,53,43,316,7.3,3,12,42,2.5,18.6,81.10%,6,203,903,4,52,49,4.4,53.1,11.9,246,5,1219,7,2
21,Diontae Johnson*,PIT,25,wr,16,14,169,107,1161,10.9,8,59,50,6.7,72.6,63.30%,6.9,5,53,0,2,25,10.6,3.3,0.3,112,10.8,1214,8,2
22,D.J. Moore,CAR,24,wr,17,17,163,93,1157,12.4,4,60,64,5.5,68.1,57.10%,7.1,8,48,0,4,14,6,2.8,0.5,101,11.9,1205,4,1
23,Aaron Jones,GNB,27,rb,15,15,65,52,391,7.5,6,22,26,3.5,26.1,80.00%,6,171,799,4,37,57,4.7,53.3,11.4,223,5.3,1190,10,2
24,Tyler Lockett,SEA,29,wr,16,16,107,73,1175,16.1,8,41,69,4.6,73.4,68.20%,11,2,9,0,0,7,4.5,0.6,0.1,75,15.8,1184,8,0
25,CeeDee Lamb*,DAL,22,wr,16,13,120,79,1102,13.9,6,54,49,4.9,68.9,65.80%,9.2,9,76,0,4,33,8.4,4.8,0.6,88,13.4,1178,6,0
26,Cordarrelle Patterson,ATL,30,rb,16,13,69,52,548,10.5,5,26,64,3.3,34.3,75.40%,7.9,153,618,6,29,39,4,38.6,9.6,205,5.7,1166,11,2
27,David Montgomery,CHI,24,rb,13,13,51,42,301,7.2,0,18,16,3.2,23.2,82.40%,5.9,225,849,7,55,41,3.8,65.3,17.3,267,4.3,1150,7,1
28,Mike Williams,LAC,27,wr,16,14,129,76,1146,15.1,9,51,72,4.8,71.6,58.90%,8.9,0,0,0,0,0,0,0,0,76,15.1,1146,9,0
29,Keenan Allen*,LAC,29,wr,16,16,157,106,1138,10.7,6,66,42,6.6,71.1,67.50%,7.2,0,0,0,0,0,0,0,0,106,10.7,1138,6,1
30,Melvin Gordon,DEN,28,rb,16,16,38,28,213,7.6,2,9,30,1.8,13.3,73.70%,5.6,203,918,8,48,70,4.5,57.4,12.7,231,4.9,1131,10,3
31,Travis Kelce*,KAN,32,te,16,16,134,92,1125,12.2,9,63,69,5.8,70.3,68.70%,8.4,2,3,1,1,4,1.5,0.2,0.1,94,12,1128,10,1
32,James Conner*,ARI,26,rb,15,6,39,37,375,10.1,3,18,45,2.5,25,94.90%,9.6,202,752,15,53,35,3.7,50.1,13.5,239,4.7,1127,18,2
33,Michael Pittman Jr.,IND,24,wr,17,17,129,88,1082,12.3,6,54,57,5.2,63.6,68.20%,8.4,5,44,0,1,25,8.8,2.6,0.3,93,12.1,1126,6,1
34,Chris Godwin,TAM,25,wr,14,14,127,98,1103,11.3,5,55,44,7,78.8,77.20%,8.7,4,21,1,4,9,5.3,1.5,0.3,102,11,1124,6,2
35,AJ Dillon,GNB,23,rb,17,2,37,34,313,9.2,2,15,50,2,18.4,91.90%,8.5,187,803,5,50,36,4.3,47.2,11,221,5,1116,7,2
36,Elijah Mitchell,SFO,23,rb,11,10,20,19,137,7.2,1,6,14,1.7,12.5,95.00%,6.9,207,963,5,47,39,4.7,87.5,18.8,226,4.9,1100,6,0
37,Devin Singletary,BUF,24,rb,17,16,50,40,228,5.7,1,11,19,2.4,13.4,80.00%,4.6,188,870,7,44,46,4.6,51.2,11.1,228,4.8,1098,8,5
38,Derrick Henry,TEN,27,rb,8,8,20,18,154,8.6,0,7,16,2.3,19.3,90.00%,7.7,219,937,10,49,76,4.3,117.1,27.4,237,4.6,1091,10,1
39,Tee Higgins,CIN,22,wr,14,14,110,74,1091,14.7,6,53,54,5.3,77.9,67.30%,9.9,0,0,0,0,0,0,0,0,74,14.7,1091,6,1
40,Darnell Mooney,CHI,24,wr,17,14,140,81,1055,13,4,49,64,4.8,62.1,57.90%,7.5,6,32,1,2,15,5.3,1.9,0.4,87,12.5,1087,5,0
41,D'Andre Swift,DET,22,rb,13,4,78,62,452,7.3,2,18,63,4.8,34.8,79.50%,5.8,151,617,5,28,57,4.1,47.5,11.6,213,5,1069,7,2
42,Terry McLaurin,WAS,26,wr,17,17,130,77,1053,13.7,5,47,46,4.5,61.9,59.20%,8.1,1,12,0,1,12,12,0.7,0.1,78,13.7,1065,5,0
43,Damien Harris,NWE,24,rb,15,15,21,18,132,7.3,0,4,21,1.2,8.8,85.70%,6.3,202,929,15,55,64,4.6,61.9,13.5,220,4.8,1061,15,2
44,Brandin Cooks,HOU,28,wr,16,16,134,90,1037,11.5,6,45,52,5.6,64.8,67.20%,7.7,2,21,0,1,16,10.5,1.3,0.1,92,11.5,1058,6,0
45,Tony Pollard,DAL,24,rb,15,0,46,39,337,8.6,0,15,32,2.6,22.5,84.80%,7.3,130,719,2,35,58,5.5,47.9,8.7,169,6.2,1056,2,2
46,Mike Evans*,TAM,28,wr,16,16,114,74,1035,14,14,56,46,4.6,64.7,64.90%,9.1,1,10,0,1,10,10,0.6,0.1,75,13.9,1045,14,0
47,Hunter Renfrow*,LVR,26,wr,17,9,128,103,1038,10.1,9,51,54,6.1,61.1,80.50%,8.1,3,3,0,0,5,1,0.2,0.2,106,9.8,1041,9,5
48,Kyle Pitts*,ATL,21,te,17,15,110,68,1026,15.1,1,43,61,4,60.4,61.80%,9.3,0,0,0,0,0,0,0,0,68,15.1,1026,1,0
49,Jaylen Waddle,MIA,23,wr,16,16,140,104,1015,9.8,6,59,57,6.5,63.4,74.30%,7.3,2,3,1,1,2,1.5,0.2,0.1,106,9.6,1018,7,2
50,Marquise Brown,BAL,24,wr,16,16,146,91,1008,11.1,6,41,49,5.7,63,62.30%,6.9,1,5,0,1,5,5,0.3,0.1,92,11,1013,6,3
51,Darrel Williams,KAN,26,rb,17,7,57,47,452,9.6,2,19,38,2.8,26.6,82.50%,7.9,144,558,6,40,21,3.9,32.8,8.5,191,5.3,1010,8,0
52,Christian Kirk,ARI,25,wr,17,11,103,77,982,12.8,5,44,50,4.5,57.8,74.80%,9.5,1,11,0,1,11,11,0.6,0.1,78,12.7,993,5,0
53,James Robinson,JAX,23,rb,14,13,46,31,222,7.2,0,9,26,2.2,15.9,67.40%,4.8,164,767,8,41,58,4.7,54.8,11.7,195,5.1,989,8,4
54,D.K. Metcalf,SEA,24,wr,17,17,129,75,967,12.9,12,48,84,4.4,56.9,58.10%,7.5,1,6,0,0,6,6,0.4,0.1,76,12.8,973,12,1
55,Sony Michel,LAR,26,rb,17,7,33,21,128,6.1,1,6,24,1.2,7.5,63.60%,3.9,208,845,4,49,39,4.1,49.7,12.2,229,4.2,973,5,1
